home,away,ft
Nashville SC,Chicago Fire,"[1, 0]"
Real Salt Lake,FC Dallas,"[3, 2]"
Seattle Sounders,San Jose Earthquakes,"[2, 2]"
Los Angeles FC,Austin,"[1, 1]"
Portland Timbers,Los Angeles Galaxy,"[4, 2]"
New York City FC,Inter Miami,"[1, 1]"
Charlotte,New England Revolution,"[4, 0]"
New York Red Bulls,Atlanta United FC,"[2, 2]"
Columbus Crew,Orlando City SC,"[4, 3]"
CF Montreal,Chicago Fire,"[2, 0]"
FC Dallas,Los Angeles FC,"[3, 1]"
Sporting Kansas City,Minnesota United FC,"[0, 2]"
Nashville SC,FC Cincinnati,"[2, 2]"
Austin,Houston Dynamo,"[0, 1]"
Real Salt Lake,Portland Timbers,"[3, 3]"
Colorado Rapids,Toronto FC,"[2, 0]"
San Jose Earthquakes,St. Louis City,"[1, 2]"
Los Angeles Galaxy,Vancouver Whitecaps,"[4, 2]"
Philadelphia Union,DC United,"[4, 0]"
Philadelphia Union,Atlanta United FC,"[1, 1]"
New York Red Bulls,New York City FC,"[1, 5]"
New England Revolution,Nashville SC,"[1, 0]"
CF Montreal,San Jose Earthquakes,"[3, 0]"
DC United,Columbus Crew,"[2, 2]"
FC Cincinnati,Los Angeles FC,"[1, 2]"
Inter Miami,Charlotte,"[1, 1]"
FC Dallas,Orlando City SC,"[1, 3]"
Chicago Fire,Toronto FC,"[1, 1]"
Minnesota United FC,Colorado Rapids,"[3, 0]"
Austin,Real Salt Lake,"[2, 2]"
St. Louis City,Sporting Kansas City,"[3, 1]"
Seattle Sounders,Houston Dynamo,"[1, 0]"
Vancouver Whitecaps,Portland Timbers,"[1, 1]"
Orlando City SC,Philadelphia Union,"[2, 1]"
Toronto FC,New York Red Bulls,"[1, 4]"
New York City FC,FC Cincinnati,"[3, 2]"
Atlanta United FC,CF Montreal,"[1, 2]"
Charlotte,Chicago Fire,"[4, 3]"
Columbus Crew,Inter Miami,"[2, 3]"
Houston Dynamo,New England Revolution,"[2, 1]"
Nashville SC,DC United,"[3, 4]"
Real Salt Lake,Minnesota United FC,"[0, 0]"
Colorado Rapids,Los Angeles Galaxy,"[1, 3]"
San Jose Earthquakes,FC Dallas,"[3, 2]"
Vancouver Whitecaps,Seattle Sounders,"[0, 3]"
Los Angeles FC,St. Louis City,"[1, 0]"
Portland Timbers,Austin,"[0, 1]"
Toronto FC,Inter Miami,"[0, 1]"
Vancouver Whitecaps,Minnesota United FC,"[0, 1]"
Atlanta United FC,New York Red Bulls,"[2, 1]"
New England Revolution,DC United,"[1, 2]"
Columbus Crew,Philadelphia Union,"[3, 2]"
FC Cincinnati,Orlando City SC,"[1, 3]"
Charlotte,CF Montreal,"[2, 0]"
Sporting Kansas City,Los Angeles FC,"[0, 3]"
St. Louis City,Houston Dynamo,"[3, 0]"
Colorado Rapids,Seattle Sounders,"[0, 1]"
San Jose Earthquakes,Real Salt Lake,"[0, 1]"
Los Angeles Galaxy,Austin,"[2, 1]"
New York City FC,Nashville SC,"[3, 1]"
Portland Timbers,FC Dallas,"[0, 0]"
Columbus Crew,New England Revolution,"[4, 0]"
Vancouver Whitecaps,Los Angeles FC,"[1, 2]"
Seattle Sounders,Portland Timbers,"[1, 1]"
FC Dallas,Sporting Kansas City,"[2, 1]"
Houston Dynamo,Los Angeles Galaxy,"[2, 1]"
Real Salt Lake,Vancouver Whitecaps,"[2, 1]"
Minnesota United FC,St. Louis City,"[4, 1]"
Los Angeles FC,San Jose Earthquakes,"[3, 1]"
Austin,Colorado Rapids,"[3, 2]"
Orlando City SC,Atlanta United FC,"[1, 2]"
Philadelphia Union,FC Cincinnati,"[1, 2]"
New York Red Bulls,Columbus Crew,"[2, 3]"
Chicago Fire,Nashville SC,"[0, 3]"
CF Montreal,New York City FC,"[2, 0]"
DC United,Charlotte,"[0, 3]"
Inter Miami,New England Revolution,"[6, 2]"
Vancouver Whitecaps,Portland Timbers,"[5, 0]"
Inter Miami,Atlanta United FC,"[2, 1]"
Los Angeles Galaxy,Colorado Rapids,"[5, 0]"
Orlando City SC,Charlotte,"[2, 0]"
Los Angeles FC,Vancouver Whitecaps,"[2, 1]"
FC Cincinnati,New York City FC,"[1, 0]"
Columbus Crew,New York Red Bulls,"[0, 1]"
Colorado Rapids,Los Angeles Galaxy,"[1, 4]"
New York City FC,FC Cincinnati,"[3, 1]"
Atlanta United FC,Inter Miami,"[2, 1]"
Vancouver Whitecaps,Los Angeles FC,"[3, 0]"
Los Angeles FC,Vancouver Whitecaps,"[1, 0]"
Inter Miami,Atlanta United FC,"[2, 3]"
New York City FC,New York Red Bulls,"[0, 2]"
Orlando City SC,Atlanta United FC,"[1, 0]"
Los Angeles Galaxy,Minnesota United FC,"[6, 2]"
Orlando City SC,New York Red Bulls,"[0, 1]"
Los Angeles Galaxy,Seattle Sounders,"[1, 0]"
Los Angeles Galaxy,New York Red Bulls,"[2, 1]"
