home,away,ft
Godoy Cruz,Banfield,"[4, 0]"
River Plate,Rosario Central,"[4, 0]"
Newells Old Boys,Boca Juniors,"[0, 1]"
Tigre,Independ. Rivadavia,"[0, 2]"
Belgrano Cordoba,Estudiantes L.P.,"[2, 2]"
Argentinos JRS,San Lorenzo,"[1, 0]"
Huracan,Platense,"[1, 0]"
Independiente,Atletico Tucuman,"[2, 1]"
Estudiantes L.P.,Argentinos JRS,"[2, 2]"
Barracas Central,Lanus,"[3, 3]"
Banfield,Sarmiento Junin,"[1, 1]"
San Lorenzo,Tigre,"[0, 1]"
Rosario Central,Belgrano Cordoba,"[2, 1]"
Instituto Cordoba,Godoy Cruz,"[1, 3]"
Boca Juniors,Independiente,"[0, 0]"
Racing Club,River Plate,"[1, 0]"
Defensa Y Justicia,Union Santa Fe,"[0, 0]"
Platense,Gimnasia L.P.,"[1, 0]"
Velez Sarsfield,Huracan,"[2, 0]"
Talleres Cordoba,Newells Old Boys,"[1, 3]"
Atletico Tucuman,Central Cordoba de Santiago,"[2, 0]"
Independ. Rivadavia,Deportivo Riestra,"[0, 0]"
