home,away,ft
Doosan Bears,Lotte Giants,"[6, 3]"
Hanwha Eagles,KT Wiz Suwon,"[13, 5]"
NC Dinos,SSG Landers,"[2, 0]"
Samsung Lions,KIA Tigers,"[3, 8]"
Kiwoom Heroes,LG Twins,"[2, 3]"
Dream,Nanum,"[2, 4]"
Kiwoom Heroes,Hanwha Eagles,"[5, 3]"
LG Twins,KIA Tigers,"[4, 11]"
SSG Landers,Lotte Giants,"[7, 4]"
Samsung Lions,NC Dinos,"[15, 6]"
SSG Landers,Lotte Giants,"[1, 6]"
LG Twins,KIA Tigers,"[2, 5]"
Kiwoom Heroes,Hanwha Eagles,"[0, 7]"
KT Wiz Suwon,Doosan Bears,"[7, 6]"
Kiwoom Heroes,Hanwha Eagles,"[5, 4]"
KT Wiz Suwon,Doosan Bears,"[1, 12]"
LG Twins,KIA Tigers,"[2, 4]"
Samsung Lions,NC Dinos,"[6, 4]"
SSG Landers,Lotte Giants,"[5, 4]"
Lotte Giants,KT Wiz Suwon,"[4, 5]"
NC Dinos,Kiwoom Heroes,"[9, 2]"
KIA Tigers,SSG Landers,"[6, 14]"
Hanwha Eagles,LG Twins,"[6, 0]"
Doosan Bears,Samsung Lions,"[5, 9]"
Doosan Bears,Samsung Lions,"[8, 4]"
Hanwha Eagles,LG Twins,"[3, 7]"
KIA Tigers,SSG Landers,"[9, 15]"
Lotte Giants,KT Wiz Suwon,"[3, 6]"
NC Dinos,Kiwoom Heroes,"[11, 5]"
Doosan Bears,Samsung Lions,"[2, 6]"
Hanwha Eagles,LG Twins,"[4, 8]"
KIA Tigers,SSG Landers,"[13, 4]"
Lotte Giants,Doosan Bears,"[4, 0]"
Kiwoom Heroes,KT Wiz Suwon,"[3, 4]"
Kiwoom Heroes,KT Wiz Suwon,"[2, 9]"
LG Twins,SSG Landers,"[12, 9]"
Lotte Giants,Doosan Bears,"[6, 2]"
NC Dinos,Hanwha Eagles,"[5, 1]"
KIA Tigers,Samsung Lions,"[10, 5]"
KIA Tigers,Samsung Lions,"[10, 4]"
Kiwoom Heroes,KT Wiz Suwon,"[8, 12]"
Lotte Giants,Doosan Bears,"[2, 3]"
NC Dinos,Hanwha Eagles,"[4, 3]"
Samsung Lions,Lotte Giants,"[6, 10]"
SSG Landers,Kiwoom Heroes,"[9, 3]"
Hanwha Eagles,KIA Tigers,"[3, 7]"
LG Twins,Doosan Bears,"[16, 7]"
