home,away,ft
Iowa Wild,Rockford IceHogs,"[2, 4]"
Belleville Senators,Toronto Marlies,"[3, 4]"
Lehigh Valley Phantoms,Charlotte Checkers,"[2, 1]"
Springfield Thunderbirds,Bridgeport Islanders,"[5, 7]"
Chicago Wolves,Milwaukee Admirals,"[5, 4]"
San Diego Gulls,Bakersfield Condors,"[3, 5]"
Tucson Roadrunners,Colorado Eagles,"[1, 3]"
Hershey Bears,Charlotte Checkers,"[0, 1]"
Manitoba Moose,Texas Stars,"[2, 6]"
Henderson Silver Knights,San Jose Barracuda,"[5, 2]"
Calgary Wranglers,Abbotsford Canucks,"[4, 3]"
Milwaukee Admirals,Cleveland Monsters,"[1, 4]"
Springfield Thunderbirds,Hartford Wolf Pack,"[0, 7]"
Manitoba Moose,Texas Stars,"[1, 3]"
Grand Rapids Griffins,Cleveland Monsters,"[5, 1]"
Rockford IceHogs,Iowa Wild,"[4, 5]"
Lehigh Valley Phantoms,Charlotte Checkers,"[3, 6]"
Coachella Valley Firebirds,Colorado Eagles,"[4, 1]"
Henderson Silver Knights,Ontario Reign,"[3, 4]"
Toronto Marlies,Syracuse Crunch,"[0, 2]"
Calgary Wranglers,Abbotsford Canucks,"[4, 2]"
Chicago Wolves,Iowa Wild,"[3, 2]"
Utica Comets,Lehigh Valley Phantoms,"[2, 4]"
Syracuse Crunch,Belleville Senators,"[3, 2]"
Springfield Thunderbirds,Rochester Americans,"[2, 5]"
Texas Stars,Tucson Roadrunners,"[3, 6]"
Ontario Reign,San Diego Gulls,"[4, 1]"
Toronto Marlies,Cleveland Monsters,"[1, 3]"
Bridgeport Islanders,Rochester Americans,"[3, 6]"
Wilkes-Barre/Scranton,Hartford Wolf Pack,"[5, 0]"
Laval Rocket,Abbotsford Canucks,"[6, 2]"
Milwaukee Admirals,Grand Rapids Griffins,"[2, 1]"
Utica Comets,Belleville Senators,"[2, 7]"
Texas Stars,Tucson Roadrunners,"[5, 0]"
Chicago Wolves,Rockford IceHogs,"[4, 0]"
Ontario Reign,Coachella Valley Firebirds,"[3, 4]"
San Jose Barracuda,Colorado Eagles,"[2, 4]"
Bridgeport Islanders,Hartford Wolf Pack,"[1, 5]"
Hershey Bears,Providence Bruins,"[5, 1]"
Chicago Wolves,Rockford IceHogs,"[3, 5]"
Toronto Marlies,Cleveland Monsters,"[2, 4]"
San Jose Barracuda,Colorado Eagles,"[4, 3]"
Calgary Wranglers,Manitoba Moose,"[2, 3]"
Henderson Silver Knights,Bakersfield Condors,"[4, 1]"
Hershey Bears,Lehigh Valley Phantoms,"[4, 5]"
Toronto Marlies,Wilkes-Barre/Scranton,"[3, 6]"
Utica Comets,Syracuse Crunch,"[5, 1]"
Rockford IceHogs,Texas Stars,"[1, 4]"
San Diego Gulls,Iowa Wild,"[5, 1]"
Coachella Valley Firebirds,Tucson Roadrunners,"[1, 4]"
Grand Rapids Griffins,Manitoba Moose,"[2, 3]"
Syracuse Crunch,Toronto Marlies,"[2, 3]"
Belleville Senators,Wilkes-Barre/Scranton,"[1, 6]"
Cleveland Monsters,Laval Rocket,"[0, 5]"
Providence Bruins,Bridgeport Islanders,"[4, 1]"
Rochester Americans,Utica Comets,"[5, 1]"
Milwaukee Admirals,Texas Stars,"[2, 5]"
Colorado Eagles,Calgary Wranglers,"[5, 2]"
Abbotsford Canucks,Henderson Silver Knights,"[4, 1]"
Ontario Reign,Iowa Wild,"[0, 5]"
San Diego Gulls,Tucson Roadrunners,"[3, 2]"
San Jose Barracuda,Bakersfield Condors,"[5, 2]"
Charlotte Checkers,Hershey Bears,"[2, 4]"
Syracuse Crunch,Rochester Americans,"[6, 2]"
Utica Comets,Toronto Marlies,"[4, 1]"
Grand Rapids Griffins,Manitoba Moose,"[0, 1]"
Hartford Wolf Pack,Lehigh Valley Phantoms,"[0, 3]"
Springfield Thunderbirds,Providence Bruins,"[6, 4]"
Rockford IceHogs,Texas Stars,"[1, 6]"
Coachella Valley Firebirds,Chicago Wolves,"[5, 2]"
San Diego Gulls,Tucson Roadrunners,"[2, 4]"
Colorado Eagles,Calgary Wranglers,"[7, 2]"
Abbotsford Canucks,Henderson Silver Knights,"[4, 2]"
Belleville Senators,Wilkes-Barre/Scranton,"[4, 3]"
Bridgeport Islanders,Lehigh Valley Phantoms,"[5, 0]"
Hartford Wolf Pack,Springfield Thunderbirds,"[1, 3]"
Rockford IceHogs,Milwaukee Admirals,"[5, 0]"
Coachella Valley Firebirds,Chicago Wolves,"[5, 2]"
Ontario Reign,Iowa Wild,"[5, 2]"
Charlotte Checkers,Milwaukee Admirals,"[2, 5]"
Calgary Wranglers,Tucson Roadrunners,"[5, 2]"
Abbotsford Canucks,Ontario Reign,"[6, 3]"
Bridgeport Islanders,Springfield Thunderbirds,"[0, 4]"
Charlotte Checkers,Milwaukee Admirals,"[4, 2]"
Grand Rapids Griffins,Chicago Wolves,"[5, 2]"
